Block ID,Type,Code,Name,Catalog Year
RA003221,MAJOR,447A,Cert in Systemic Multicultural Counseling,2015 - 2020
RA003222,MAJOR,449A,Cert in Reading Education,2015 - 2016
RA003223,MAJOR,224A,Major in Computer Science,2015 - 2016
RA003224,MAJOR,302*,Major in Accounting,2015 - 2019
RA003225,CONC,302C,Conc in General Accounting,2015 - 2019
RA003226,MAJOR,446A,Cert in Middle & Secondary Education,2015 - 2015
RA003227,MAJOR,709*,Major in Clinical Mental Health Counseling,2015 - 2018
RA003228,MAJOR,427A,Major in Professional School Counseling,2015 - 2015
RA003229,MINOR,146,Minor in Gender Women's and Sexuality Studies,2015 - 2022
RA003230,MAJOR,146A,Cert in Gender Women's and Sexuality Studies,2015 - 2020
RA003231,MAJOR,258A,Major in I/O Psychology & HR Management,2015 - 2018
RA003232,MAJOR,125A,Major in School Psychology,2015 - 2016
RA003233,MAJOR,145*,Major in Psychology,2015 - 2018
RA003234,MINOR,445,Minor in Autism Spectrum Disorders,2015 - 2016
RA003235,MAJOR,445A,Cert in Autism Spectrum Disorders,2015 - 2016
RA003236,OTHER,PSYHON,Psychology Departmental Honors,2009 - 9999
RA003237,MAJOR,850*,Major in Nursing,2015 - 9999
RA003238,CONC,850B,Conc in Nursing Education,2015 - 9999
RA003239,DEGREE,BS_574F_3,Recreational Management Outdoor Experiential Ed (,2015 - 2018
RA003240,MAJOR,204*,Major in Appalachian Studies,2015 - 2015
RA003241,CONC,204B,Conc in Appalachian Culture Area,2015 - 2015
RA003242,CONC,204D,Conc in Appalachian Music: Roots/Infl,2015 - 2015
RA003243,CONC,204E,Conc in Sustainability in Appalachia,2015 - 2015
RA003244,MAJOR,255*,Major in History,2015 - 2018
RA003245,CONC,255C,Conc in Historic Preservation,2015 - 2018
RA003246,CONC,255E,Conc in Museum Studies,2015 - 2018
RA003247,CONC,255D,Conc in Public History,2015 - 2018
RA003248,MAJOR,437*,Major in Educational Media,2015 - 2016
RA003249,CONC,437H,Conc in Online Learning & Prof Devel,2015 - 2021
RA003250,CONC,437F,Conc in IT Specialist/K-12,2015 - 2021
RA003251,CONC,437J,Conc in New Media Literacies & Global Perspectives,2015 - 9999
RA003252,CONC,437G,Conc in IT Specialist/General,2015 - 2021
RA003253,MAJOR,457A,Cert in Online Learning & Prof Development,2015 - 2020
RA003254,MAJOR,464A,Cert in Instructional Technology Facilitation,2015 - 2016
RA003255,MAJOR,461A,Cert in New Media Literacies & Global Perspectives,2015 - 2016
RA003256,MAJOR,476*,Major in Special Education,2015 - 2016
RA003257,CONC,702G,Conc in Expressive Arts Ed Leadership & Inquiry,2015 - 2017
RA003258,DEGREE,BS_574E_3,Recreational Management Recreation & Park Mgmt (B,2015 - 2018
RA003259,DEGREE,BS_574G_3,Recreational Management Commercial Rec & Tourism,2015 - 2018
RA003260,MAJOR,592A,Cert in Strategic Communication,2015 - 2020
RA003261,MAJOR,842*,Major in Exercise Science,2015 - 2019
RA003262,CONC,842E,Conc in Clinical Exercise Physiology,2015 - 2019
RA003263,CONC,842D,Conc in Strength and Conditioning,2015 - 2017
RA003264,CONC,145B,Conc in Experimental Psychology,2015 - 2018
RA003265,CONC,145C,Conc in Clinical Psychology,2015 - 2018
RA003266,MAJOR,264*,Major in Mathematics,2015 - 2017
RA003267,CONC,477E,Conc in Classroom/Clinical,2015 - 2019
RA003268,CONC,264B,Conc in College Teaching (Mathematics),2015 - 2019
RA003269,CONC,264C,Conc in Secondary Teaching (Mathematics),2015 - 2019
RA003270,DEGREE,MA_264C,Master of Arts,2015 - 2017
RA003271,DEGREE,MSN_850B,Master of Science,2015 - 2017
RA003272,DEGREE,GCERT_449A,Graduate Certificate,2015 - 2017
RA003273,DEGREE,GCERT_447A,Graduate Certificate,2015 - 2017
RA003274,DEGREE,GCERT_446A,Graduate Certificate,2015 - 2017
RA003275,DEGREE,GCERT_146A,Graduate Certificate,2015 - 2017
RA003276,DEGREE,MA_437H,Master of Arts,2015 - 2017
RA003277,DEGREE,MA_437F,Master of Arts,2015 - 2017
RA003278,DEGREE,MA_437J,Master of Arts,2015 - 2017
RA003279,DEGREE,MA_437G,Master of Arts,2015 - 2017
RA003280,DEGREE,GCERT_457A,Graduate Certificate,2015 - 2017
RA003281,DEGREE,GCERT_464A,Graduate Certificate,2015 - 2017
RA003282,DEGREE,GCERT_461A,Graduate Certificate,2015 - 2017
RA003283,DEGREE,EDD_702G,Doctor of Education,2015 - 2017
RA003284,DEGREE,GCERT_592A,Graduate Certificate,2015 - 2017
RA003285,MAJOR,553A,Major in Music Therapy,2010 - 2011
RA003286,MAJOR,553A,Major in Music Therapy,2012 - 2014
RA003287,DEGREE,403A_2,Health Ed Secondary Ed (GC),2009 - 2014
RA003289,DEGREE,BS_403A_2,Health Ed Secondary Ed (BS),2009 - 2014
RA003291,DEGREE,BA_250B_3,Interdisciplinary Studies American Studies (BA),2015 - 2015
RA003292,DEGREE,BA_250D_3,Interdisciplinary Studies Environ Pol & Plan (BA),2015 - 2015
RA003293,DEGREE,BA_250E_3,Interdisciplinary Studies Individ Designed (BA),2015 - 2018
RA003294,DEGREE,BA_250L_3,Interdisciplinary Studies Liberal Studies (BA),2015 - 2015
RA003295,DEGREE,BA_250Q_3,Interdisciplinary Studies Internet Studies (BA),2015 - 2015
RA003296,DEGREE,BA_250S_3,Interdisciplinary Studies Labor Studies (BA),2015 - 2015
RA003297,MINOR,572,Minor in Graphic Arts & Imaging,2015 - 2019
RA003298,DEGREE,250E,Interdisciplinary Studies Individ Designed (GC),2015 - 2015
RA003299,DEGREE,565A_2,Athletic Training (GC),2015 - 2017
RA003300,CONC,558V,Conc in Performance/Voice,2015 - 2021
RA003301,MAJOR,560A,Major in Music Therapy,2015 - 2018
RA003302,OTHER,SWCOG,Social Work Cognate Courses,2011 - 2013
RA003304,DEGREE,MA_454G_2,Master of Arts,2015 - 2017
RA003305,MAJOR,820A,Major in Communication Sciences & Disorders (GC),2014 - 2014
RA003306,MINOR,214,Minor in Chemistry,2013 - 2015
RA003307,OTHER,ADCB,COB ADMISSION REQUIREMENT,2010 - 2011
RA003308,OTHER,COMHON,Communication Departmental Honors,2009 - 9999
RA003309,OTHER,SWCOG,Social Work Cognate Courses,2015 - 9999
RA003310,OTHER,SWCOG,Social Work Cognate Courses,2014 - 2014
RA003311,DEGREE,BSW,Degree in Bach of Sci in Social Work,2011 - 2014
RA003312,DEGREE,BSW_281A_2,Social Work (BSW),2011 - 2014
RA003313,DEGREE,281A,Social Work (GC),2011 - 2014
RA003314,MAJOR,281A,Major in Social Work,2010 - 2010
RA003315,CONC,554E,Conc in Instrument/Bassoon,2015 - 2018
RA003316,DEGREE,MBA_305F_2,Master of Business Administration,2015 - 2017
RA003317,CONC,554F,Conc in Instrument/Cello,2015 - 2018
RA003318,CONC,554G,Conc in Instrument/Clarinet,2015 - 2018
RA003319,CONC,554H,Conc in Instrument/Flute,2015 - 2018
RA003320,CONC,554I,Conc in Instrument/French Horn,2015 - 2018
RA003321,CONC,554K,Conc in Instrument/Guitar,2015 - 2018
RA003322,CONC,554L,Conc in Instrument/Harp,2015 - 2018
RA003323,CONC,554M,Conc in Instrument/Oboe,2015 - 2018
RA003324,CONC,554N,Conc in Instrument/Organ,2015 - 2018
RA003325,CONC,554O,Conc in Instrument/Percussion,2015 - 2018
RA003326,CONC,554P,Conc in Instrument/Piano,2015 - 2018
RA003327,CONC,554Q,Conc in Instrument/Saxophone,2015 - 2018
RA003328,CONC,554R,Conc in Instrument/String Bass,2015 - 2018
RA003329,CONC,554T,Conc in Instrument/Trombone,2015 - 2018
RA003330,CONC,554U,Conc in Instrument/Trumpet,2015 - 2018
RA003331,CONC,554V,Conc in Instrument/Tuba,2015 - 2018
RA003332,CONC,554W,Conc in Instrument/Viola,2015 - 2018
RA003333,CONC,554X,Conc in Instrument/Violin,2015 - 2018
RA003334,CONC,554Z,Conc in Instrument/Euphonium,2015 - 2018
RA003335,MAJOR,710A,Major in Apparel Design & Merchandising,2016 - 2018
RA003336,MAJOR,584A,Major in Art Education (K-12),2016 - 2016
RA003337,CONC,549C,Conc in Studio Art,2016 - 2016
RA003338,MAJOR,513A,Major in Studio Art,2016 - 2016
RA003339,DEGREE,BST,Degree in Bachelor of Science,2009 - 2014
RA003340,OTHER,GENED15,General Education Requirements,2016 - 2016
RA003341,DEGREE,BST,Degree in Bachelor of Science,2015 - 2015
RA003342,DEGREE,710A_2,Apparel Design & Merchandising (GC),2016 - 2018
RA003343,DEGREE,BS_710A_2,Apparel Design & Merchandising (BS),2016 - 2018
RA003344,MINOR,710,Minor in Apparel Design & Merchandising,2016 - 2017
RA003345,MAJOR,576*,Major in Industrial Design,2016 - 2016
RA003346,CONC,576B,Conc in Furniture Design,2016 - 2018
RA003347,DEGREE,576B_2,Industrial Design Furniture Design (GC),2016 - 2016
RA003348,DEGREE,BS_576B_2,Industrial Design Furniture Design (BS),2016 - 2016
RA003349,CONC,576C,Conc in Product Design,2016 - 2016
RA003350,DEGREE,576C_2,Industrial Design Product Design (GC),2016 - 2018
RA003351,DEGREE,BS_576C_2,Industrial Design Product Design (BS),2016 - 2018
RA003352,MAJOR,550A,Major in Interior Design,2016 - 2016
RA003353,MAJOR,583A,Major in Commercial Photography,2016 - 2016
RA003354,MAJOR,507A,Major in Communication (Advertising),2016 - 2016
RA003355,MAJOR,525A,Major in Communication (ElecMedBrdcst),2016 - 2016
RA003356,MAJOR,517A,Major in Communication (Journalism),2016 - 2016
RA003357,MAJOR,521A,Major in Communication (Public Relations),2016 - 2016
RA003358,MAJOR,585A,Major in Communication Studies,2016 - 2016
RA003359,MINOR,532,Minor in Communication,2016 - 2016
RA003360,MINOR,555,Minor in Military Science,2016 - 9999
RA003361,CONC,577B,Conc in Architectural Tech & Design,2016 - 2017
RA003362,CONC,577C,Conc in Construction Management,2016 - 2017
RA003363,CONC,577D,Conc in Sustainable Bldg Systems,2016 - 2017
RA003364,MAJOR,571A,Major in Sustainable Technology,2016 - 2017
RA003365,OTHER,ADCB,COB ADMISSION REQUIREMENT,2016 - 2018
RA003366,OTHER,CBCORE,Additional COB Core Requirement,2016 - 2018
RA003367,MAJOR,301A,Major in Accounting,2016 - 2021
RA003368,MAJOR,310A,Major in Computer Information Systems,2016 - 9999
RA003369,MAJOR,316A,Major in Economics,2016 - 9999
RA003370,MAJOR,315*,Major in Economics,2016 - 9999
RA003371,CONC,315B,Conc in Environmental Policy & Mgmt,2016 - 2018
RA003372,CONC,315C,Conc in Economics (General),2016 - 2018
RA003373,CONC,315D,Conc in International Economics,2016 - 2016
RA003374,CONC,315E,Conc in Regional Development,2016 - 2018
RA003375,MAJOR,326A,Major in Finance & Banking,2016 - 2016
RA003376,MAJOR,371A,Major in Hospitality & Tourism Management,2016 - 2022
RA003377,MAJOR,337A,Major in International Business,2016 - 2016
RA003378,MAJOR,355A,Major in Management,2016 - 9999
RA003379,MAJOR,352*,Major in Marketing,2016 - 9999
RA003380,CONC,352B,Concentration in General Marketing,2016 - 2019
RA003381,DEGREE,352B,Marketing General Marketing (GC),2016 - 2018
RA003382,DEGREE,BSB_352B,Marketing General Marketing (BSBA),2016 - 2018
RA003383,CONC,352C,Conc in Sales,2016 - 2019
RA003384,DEGREE,352C,Marketing Sales (GC),2016 - 2018
RA003385,DEGREE,BSB_352C,Marketing Sales (BSB),2016 - 2018
RA003386,MAJOR,380A,Major in Risk Management & Insurance,2016 - 2016
RA003387,MINOR,346,Minor in Advanced Entrepreneurship,2016 - 2016
RA003388,MINOR,316,Minor in Economics,2016 - 9999
RA003389,MINOR,337,Minor in International Business,2016 - 2016
RA003390,MINOR,352,Minor in Marketing,2016 - 2017
RA003391,MINOR,360,Minor in Supply Chain Management,2016 - 2019
RA003392,MINOR,349,Minor in Sustainable Business,2016 - 2021
RA003393,MINOR,310,Minor in Computer Information Systems,2016 - 2016
RA003394,MINOR,381,Minor in Employee Benefits,2016 - 2017
RA003395,MINOR,347,Minor in Entrepreneurial Studies,2016 - 2016
RA003396,MINOR,324,Minor in General Business,2016 - 9999
RA003397,MINOR,348,Minor in Human Resource Management,2016 - 2021
RA003398,MAJOR,549*,Major in Art & Visual Culture,2016 - 2016
RA003399,DEGREE,BSB_301A,Accounting (BSBA),2016 - 2018
RA003400,DEGREE,301A,Accounting (GC),2016 - 2018
RA003401,DEGREE,BSB_310A,Computer Information Systems (BSBA),2016 - 2018
RA003402,DEGREE,310A,Computer Information Systems (GC),2016 - 2018
RA003403,DEGREE,BSB_316A,Economics (BSBA),2016 - 2018
RA003404,MINOR,354,Minor in Marketing: Sales,2016 - 2017
RA003405,MINOR,353,Minor in Marketing: Professional Selling,2016 - 2024
RA003406,MINOR,371,Minor in Hospitality & Tourism Management,2016 - 2021
RA003407,DEGREE,316A,Economics (GC),2016 - 2018
RA003408,DEGREE,BSB_326A,Finance & Banking (BSBA),2016 - 2018
RA003409,DEGREE,326A,Finance & Banking (GC),2016 - 2018
RA003410,DEGREE,BSB_337A,International Business (BSBA),2016 - 2018
RA003411,DEGREE,337A,International Business (GC),2016 - 2018
RA003412,DEGREE,355A,Management (GC),2016 - 2018
RA003413,DEGREE,BSB_355A,Management (BSBA),2016 - 2018
RA003414,DEGREE,BSB_371A,Hospitality & Tourism Mgmt (BSBA),2016 - 2018
RA003415,DEGREE,371A,Hospitality & Tourism Mgmt (GC),2016 - 2018
RA003416,DEGREE,BSB_380A,Risk Management & Insurance (BSBA),2016 - 2018
RA003417,DEGREE,380A,Risk Management & Insurance (GC),2016 - 2018
RA003418,CONC,604D,Conc in Environmental Studies,2016 - 2016
RA003419,MINOR,820,Minor in Communication Sciences & Disorders,2016 - 2019
RA003420,MINOR,100,Minor in Appalachian Music (Rts&Inf),2016 - 9999
RA003421,MINOR,204,Minor in Appalachian Studies,2016 - 2019
RA003422,MINOR,214,Minor in Chemistry,2016 - 2022
RA003423,MINOR,112,Minor in Interdisciplinary Studies,2016 - 2018
RA003424,MINOR,289,Minor in Statistics,2016 - 2022
RA003425,MINOR,126,Minor in Judaic Holocaust & Peace Studies,2016 - 2016
RA003426,MAJOR,201A,Major in Anthropology,2016 - 2016
RA003427,CONC,202D,Conc in Archeology,2016 - 9999
RA003428,CONC,202F,Conc in Sociocultural Anthropology,2016 - 2016
RA003429,MAJOR,220A,Major in Criminal Justice,2016 - 2016
RA003430,CONC,272D,Conc in Int'l & Comparative Politics,2016 - 2016
RA003431,CONC,272J,Conc in Pre-Professional Legal Studies,2016 - 2016
RA003432,CONC,259C,Conc in Environmental Geology,2016 - 2016
RA003433,MAJOR,259*,Major in Geology,2016 - 2018
RA003434,CONC,259E,Conc in Quantitative Geoscience,2016 - 2016
RA003435,CONC,259F,Conc in Secondary Education,2016 - 2023
RA003436,DEGREE,259F,Geology Secondary Education (GC),2016 - 2016
RA003437,DEGREE,BS_259F,Geology Secondary Education (BS),2016 - 2016
RA003438,CONC,233B,Concentration in Creative Writing,2016 - 2018
RA003439,CONC,233E,Conc in Literary Studies,2016 - 2016
RA003440,MAJOR,251A,Major in Psychology (BA),2016 - 2016
RA003441,CONC,252C,Conc in Natural Science,2016 - 2016
RA003442,MAJOR,252*,Major in Psychology (BS),2016 - 2016
RA003443,MAJOR,106A,Major in Actuarial Sciences,2016 - 2016
RA003444,MAJOR,260*,Major in Mathematics (BS),2016 - 2018
RA003445,CONC,260B,Conc in Mathematics (General),2016 - 2016
RA003446,CONC,260D,Conc in Mathematics (Business),2016 - 2016
RA003447,CONC,260E,Conc in Mathematics (Computation),2016 - 2016
RA003448,CONC,260F,Conc in Mathematics (Life Science),2016 - 2016
RA003449,CONC,260G,Conc in Mathematics (Physical Science),2016 - 2016
RA003450,CONC,260H,Conc in Mathematics (Statistics),2016 - 2016
RA003451,CONC,260I,Conc in Math Secondary Education,2016 - 2016
RA003452,OTHER,PROFEDU,Professional Education Requirements,2016 - 2020
RA003453,DEGREE,BST,Degree Block for Teaching Majors,2016 - 9999
RA003454,DEGREE,260I,Mathematics Secondary Education (GC),2016 - 2018
RA003455,DEGREE,BS_260I,Mathematics Secondary Education (BS),2016 - 2018
RA003456,MAJOR,261A,Major in Mathematics (BA),2016 - 2016
RA003457,CONC,214D,Conc in Marketing & Business,2016 - 2019
RA003458,CONC,214I,Conc in Fermentation Sciences,2016 - 2016
RA003459,CONC,214J,Conc in Secondary Education,2016 - 2018
RA003460,MAJOR,269A,Major in Physics (BA),2016 - 2018
RA003461,CONC,270C,Conc in Secondary Education,2016 - 2018
RA003462,CONC,136B,Conc in French & Francophone Studies,2016 - 2018
RA003463,CONC,137B,Conc in French & Francophone Studies K-12,2016 - 2018
RA003464,CONC,137C,Conc in Spanish Education (K-12),2016 - 2017
RA003465,MAJOR,284*,Major in Sociology (BS),2016 - 2018
RA003466,CONC,284K,Conc in Social Inequalities,2016 - 2017
RA003467,CONC,284L,Conc in Criminology Deviance and Law,2016 - 2017
RA003468,CONC,284M,Conc in Families & Intimate Relationships,2016 - 2016
RA003469,MAJOR,290A,Major in Sociology (BA),2016 - 2018
RA003470,CONC,121B,Conc in Environmental Professional,2016 - 2017
RA003471,MAJOR,116A,Major in History (Social Studies Education),2016 - 2016
RA003474,MAJOR,250*,Major in Interdisciplinary Studies,2016 - 2025
RA003475,CONC,250E,Conc in Individually Designed,2016 - 2017
RA003476,MAJOR,101A,Major in Philosophy,2016 - 2018
RA003477,MAJOR,102A,Major in Religious Studies,2016 - 2016
RA003478,CONC,142D,Conc in Secondary Education,2016 - 2018
RA003479,MAJOR,565A,Major in Athletic Training,2016 - 2016
RA003480,DEGREE,BS_565A_3,Athletic Training (BS),2015 - 2017
RA003481,MAJOR,567*,Major in Exercise Science,2016 - 2018
RA003482,CONC,567B,Conc in Pre-Professional,2016 - 2016
RA003483,CONC,567D,Conc in Strength & Conditioning,2016 - 2018
RA003484,CONC,567E,Conc in Clinical Exercise Physiology,2016 - 2016
RA003485,MAJOR,820A,Major in Communication Sciences & Disorders,2016 - 2017
RA003486,MAJOR,509A,Major in Health Promotion,2016 - 9999
RA003487,DEGREE,BS_509A_3,Health Promotion (BS),2016 - 2016
RA003488,MINOR,509,Minor in Health Promotion,2016 - 9999
RA003489,MAJOR,845A,Major in Health Care Management,2016 - 2017
RA003490,MINOR,840,Minor in Nutrition and Foods,2016 - 2017
RA003491,CONC,840C,Conc in Foodsystems Management,2016 - 2016
RA003492,MAJOR,825A,Major in Health & Physical Education (K-12),2016 - 2016
RA003493,DEGREE,BS_825A,Health & Physical Education (K-12),2016 - 2017
RA003494,DEGREE,825A,Health & Physical Education (K-12) (GC),2016 - 2017
RA003495,DEGREE,BS_142D,Biology Secondary Education (BS),2016 - 2018
RA003496,DEGREE,142D,Biology Secondary Education (GC),2016 - 2018
RA003497,DEGREE,BS_214J,Chemistry Secondary Education (BS),2016 - 2017
RA003498,DEGREE,214J,Chemistry Secondary Education (GC),2016 - 2016
RA003499,DEGREE,234A,English Secondary Education (GC),2016 - 2018
RA003500,DEGREE,BS_116A,History Social Studies Education (BS),2016 - 2018
RA003501,DEGREE,116A,History Social Studies Education (GC),2016 - 2018
RA003502,DEGREE,BS_137B,French & Francophone Studies K-12 Education (BS),2016 - 2018
RA003503,DEGREE,137B,French & Francophone Studies K-12 Education (GC),2016 - 2018
RA003504,DEGREE,BS_137C,Spanish Education (K-12) (BS),2016 - 2018
RA003505,DEGREE,137C,Spanish Education (K-12) (GC),2016 - 2018
RA003506,DEGREE,BS_270C,Physics Secondary Education (BS),2016 - 2018
RA003507,DEGREE,270C,Physics Secondary Education (GC),2016 - 2018
RA003508,DEGREE,BS_845A,Health Care Management (BS),2016 - 2018
RA003509,DEGREE,845A,Health Care Management (GC),2016 - 2018
RA003510,MAJOR,809A,Major in Nursing (BSN),2016 - 2016
RA003511,DEGREE,BSN_809A,Nursing (BSN),2016 - 2016
RA003512,DEGREE,809A,Nursing (GC),2016 - 2016
RA003513,CONC,470B,Conc in Mid Grades Language Arts,2016 - 2016
RA003514,CONC,470C,Conc in Mid Grades Mathematics,2016 - 2016
RA003515,CONC,470D,Conc in Mid Grades Science,2016 - 2016
RA003516,CONC,470E,Conc in Mid Grades Social Studies,2016 - 2016
RA003517,CONC,456D,Conc in Family & Consumer Sciences Education,2016 - 2017
RA003518,MAJOR,470*,Major in Middle Grades Education,2016 - 2017
RA003519,MAJOR,456*,Major in Career & Tech Edu (BS w/ Conc),2016 - 2020
RA003520,CONC,456E,Conc in Tech Engineering & Design Education,2016 - 2016
RA003521,CONC,456F,Conc in Trade & Industry Education,2016 - 2016
RA003522,MAJOR,510*,Major in Child Development,2016 - 2017
RA003523,CONC,510F,Conc in Family & Consumer Sciences,2016 - 2017
RA003524,CONC,510G,Conc in Child Development (B-K),2016 - 2016
RA003525,MINOR,510,Minor in Child Development,2016 - 2018
RA003526,CONC,ELL,Conc in Lang Lit & Eng Learner (SAC),2016 - 2018
RA003527,CONC,MKT,Conc in Marketing (SAC),2016 - 9999
RA003528,CONC,MAT,Conc in Mathematics (SAC),2016 - 2018
RA003529,CONC,STEM,Conc in STEM (SAC),2016 - 2017
RA003530,CONC,G C,Conc in Graphic Communication (SAC),2016 - 2017
RA003531,CONC,PSY,Conc in Psychology (SAC),2016 - 2018
RA003532,CONC,PUB,Conc in Public Health (SAC),2016 - 2016
RA003533,CONC,574E,Concentration in Recreation & Park Management,2016 - 2019
RA003534,MINOR,575,Minor in Recreation Management,2016 - 2018
RA003535,CONC,456B,Conc in Business Finance & Info Tech Education,2016 - 2017
RA003536,CONC,456C,Conc in Business Marketing & Entrepreneurship,2016 - 2017
RA003537,DEGREE,441A,Elementary Education (GC),2016 - 2018
RA003538,DEGREE,456B,Career & Tech Edu Bus Fin & Info Tech Edu (GC),2016 - 2018
RA003539,DEGREE,456C,Career & Tech Edu Bus Mkt & Entrepren Edu (GC),2016 - 2018
RA003540,DEGREE,456D,Career & Tech Edu Fam & Consumer Ed (GC),2016 - 2017
RA003541,DEGREE,456E,Career & Tech Edu Tech Engineering & Des Ed (GC),2016 - 2017
RA003542,DEGREE,456F,Career & Tech Edu Trade & Industry Edu (GC),2016 - 2017
RA003543,DEGREE,470B,Middle Grades Education Language Arts (GC),2016 - 2018
RA003544,DEGREE,470C,Middle Grades Education Mathematics (GC),2016 - 2018
RA003545,DEGREE,470D,Middle Grades Education Science (GC),2016 - 2018
RA003546,DEGREE,470E,Middle Grades Education Social Studies (GC),2016 - 2018
RA003547,DEGREE,478B,Special Education General Curriculum K-12 (GC),2016 - 2018
RA003548,DEGREE,478C,Special Education Adapted Curriculum K-12 (GC),2016 - 2018
RA003549,DEGREE,510G,Child Dev: Birth-Kindergarten (GC),2016 - 2017
RA003550,DEGREE,BS_234A,English Secondary Education (BS),2016 - 2018
RA003551,DEGREE,BS_441A,Elementary Education (BS),2016 - 2018
RA003552,DEGREE,BS_456B,Career & Tech Edu Bus Fin & Info Tech Edu (BS w),2016 - 2018
RA003553,DEGREE,BS_456C,Career & Tech Edu Bus Mkt & Entrepren Edu (BS w),2016 - 2018
RA003554,DEGREE,BS_456D,Career & Tech Edu Fam & Consumer Ed (BS w/ Conc),2016 - 2017
RA003555,DEGREE,BS_456E,Career & Tech Edu Tech Eng & Des Ed (BS w/ Conc),2016 - 2017
RA003556,DEGREE,BS_456F,Career & Tech Edu Trade & Indus Edu (BS w/ Conc),2016 - 2017
RA003557,DEGREE,BS_470B,Middle Grades Education Language Arts (BS),2016 - 2018
RA003558,DEGREE,BS_470C,Middle Grades Education Mathematics (BS),2016 - 2018
RA003559,DEGREE,BS_470D,Middle Grades Education Science (BS),2016 - 2018
RA003560,DEGREE,BS_470E,Middle Grades Education Social Studies (BS),2016 - 2018
RA003561,DEGREE,BS_478B,Special Education General Curriculum K-12 (BS),2016 - 2018
RA003562,DEGREE,BS_478C,Special Education Adapted Curriculum K-12 (BS),2016 - 2018
RA003563,DEGREE,BS_510G,Child Dev: Birth-Kindergarten (BS),2016 - 2017
RA003565,MAJOR,478*,Major in Special Education,2016 - 2016
RA003566,CONC,557G,Conc in Music Manufact & Merchandising,2016 - 2018
RA003567,MAJOR,234A,Major in English (Secondary Ed),2016 - 2016
RA003568,MINOR,148,Minor in Experiential Integrative Learning,2016 - 9999
RA003569,CONC,284N,Conc in Health & Aging,2016 - 2016
RA003570,DEGREE,284N,Sociology Health & Aging (GC),2016 - 2018
RA003571,DEGREE,BS_284N,Sociology Health & Aging (BS),2016 - 2018
RA003572,MINOR,593,Minor in Sustainable Technology,2016 - 2017
RA003573,MAJOR,567A,Major in Exercise Science,2016 - 2016
RA003574,DEGREE,567A_2,Exercise Science (GC),2016 - 2018
RA003575,DEGREE,BS_567A_2,Exercise Science (BS),2016 - 2018
RA003576,CONC,SPT,Conc in Sport Science and Coaching (SAC),2016 - 9999
RA003577,MAJOR,361A,Major in Supply Chain Management,2016 - 2019
RA003578,DEGREE,361A,Supply Chain Management (GC),2016 - 2018
RA003579,DEGREE,BSB_361A,Supply Chain Management (BSB),2016 - 2018
RA003580,DEGREE,MA_468A_2,Master of Arts,2015 - 2017
RA003581,DEGREE,BS_565A_3,Athletic Training (BS),2014 - 2014
RA003582,MAJOR,201*,Major in Anthropology,2016 - 2021
RA003583,CONC,201C,Concentration in Biological Anthropology,2016 - 2018
RA003584,CONC,201D,Conc in Archaeology,2016 - 2016
RA003585,DEGREE,201D,Anthropology Archaeology (GC),2016 - 2018
RA003586,DEGREE,BS_201D,Anthropology Archaeology (BS),2016 - 2018
RA003587,DEGREE,MA_416A_2,Master of Arts,2015 - 2017
RA003588,CONC,THR,Conc in Theatre Arts (SAC),2016 - 2016
RA003589,DEGREE,MA_255B_2,Master of Arts,2012 - 2017
RA003590,MINOR,609,Minor in Non-Profit Management,2016 - 9999
RA003591,MAJOR,149A,Cert in Non-Profit Administration,2016 - 2020
RA003592,DEGREE,GCERT_149A,Graduate Certificate,2016 - 2017
RA003593,MAJOR,855*,Major in Health Administration,2016 - 2020
RA003594,CONC,855B,Conc in Information Systems,2016 - 2020
RA003595,CONC,855C,Conc in Leadership,2016 - 2020
RA003596,DEGREE,MHA_855B,Master of Health Administration,2016 - 2017
RA003597,DEGREE,MHA_855C,Master of Health Administration,2016 - 2017
RA003598,MAJOR,304*,Major in Applied Data Analytics,2016 - 2017
RA003599,CONC,304D,Conc in Interdisciplinary Analytics,2016 - 2017
RA003600,CONC,304B,Conc in Supply Chain Analytics,2016 - 2017
RA003601,CONC,304C,Conc in Sustainability Analytics,2016 - 2017
RA003602,DEGREE,MS_304B,Master of Science,2016 - 2017
RA003603,DEGREE,MS_304C,Master of Science,2016 - 2017
RA003604,DEGREE,MS_304D,Master of Science,2016 - 2017
RA003605,MAJOR,427A,Major in Professional School Counseling,2016 - 2021
RA003606,MAJOR,279*,Major in Public Administration,2016 - 2017
RA003607,CONC,279D,Conc in Administration of Justice,2016 - 9999
RA003608,MAJOR,558*,Major in Performance,2016 - 2021
RA003609,MAJOR,110A,Cert in Gerontology,2016 - 2017
RA003610,MAJOR,113*,Major in Engineering Physics,2016 - 2016
RA003611,CONC,113B,Conc in Systems Laboratory Automation,2016 - 2018
RA003612,CONC,113C,Conc in Instrumentation & Automation,2016 - 9999
RA003613,CONC,113D,Conc in Nanoscience for Advanced Materials,2016 - 2016
RA003614,CONC,305I,Conc in Supply Chain Management,2016 - 2019
RA003615,MAJOR,204*,Major in Appalachian Studies,2016 - 9999
RA003616,CONC,204F,Conc in Culture and Music,2016 - 9999
RA003617,CONC,204E,Conc in Sustainability in Appalachia,2016 - 9999
RA003618,MAJOR,267*,Major in Political Science,2016 - 9999
RA003619,CONC,267C,Conc in American Government,2016 - 9999
RA003620,CONC,267E,Conc in Int'l Relations/Comparative Politics,2016 - 9999
